drewex - 29.06.2015 1:10    [u mnie /10]
herkules - 22.06.2012 5:1 ()scalenie)   [u mnie /5]
cig - 31.01.2017  1:10    [u mnie /0.1  ]
13.01.2017	RESBUD	1/5   [u mnie 0.0833]


29.07.2016	RESBUD	4
25.09.2014	RESBUD	4





http://bossa.pl/analizy/splity/
Splity
data	WALOR	1:
18.05.2012	PLASTBOX	5
30.04.2012	POLNOCNR	2
30.04.2012	ATSENERGY	1/50
14.03.2012	HARDEX	10
27.01.2012	PINOTCARO-PDA	10
30.12.2011	UNICREDIT	1/10
23.12.2011	LANGLOO	10
22.11.2011	LENTEX	5
18.11.2011	INGBSK	10
09.11.2011	FONECO	1/29
08.11.2011	INBOOK	1/10
31.10.2011	WIKANA	1/10
21.10.2011	BIOMAX	2
21.09.2011	BPI	1/10
02.09.2011	CWPE	10
12.07.2011	ESOTIQ	10
07.07.2011	EENERGO	5
30.05.2011	MENNICA	10
26.04.2011	SUWARY	5
01.04.2011	INTERNITY	10
08.03.2011	INDEXCOP	10
13.01.2011	URLOPYPL	1/36
08.12.2010	PUBLICIA	5
24.11.2010	HURTIMEX	1/20
15.11.2010	ASSETUS	5
12.11.2010	HMSG	1/5
10.11.2010	POLMAN	10
21.10.2010	DFP	2
30.09.2010	HEFAL	10
15.09.2010	AUXILIUM	2
08.09.2010	DIVICOM	2
02.09.2010	MEWA	1/106
10.08.2010	AGROMA	1/50
09.07.2010	MILKPOL	10
14.05.2010	SANWIL	1/20
29.04.2010	GPFCAUSA	10
19.04.2010	NICOGAMES	20
16.04.2010	ELKOP	1/50
26.03.2010	LUG	4
26.01.2010	ORZEL	1/34
28.12.2009	HURTIMEX	10
24.11.2009	CHEMOS	5
12.11.2009	PCGUARD	1/100
04.11.2009	STARKDEV	2
28.09.2009	IZOLACJA	30
21.08.2009	URLOPYPL	6
16.07.2009	WBAY	5
03.06.2009	FON	1/50
14.11.2008	JUTRZENKA	20
01.10.2008	ZREMB	100
08.08.2008	TELL	5
02.07.2008	ZTSERG	5
16.06.2008	DIGITAL	10
07.05.2008	ASSECOSLO	10
30.04.2008	ELZAB	10
14.03.2008	ATMGRUPA	20
22.02.2008	INWESTCON	2
